v_mean_recovered,v_sd_recovered,a_recovered,z_recovered,ndt_recovered,value_recovered,v_mean,v_sd,a,z,ndt
0.4859051344849332,2.0864586837658607,447.8391400074629,-68.43868206756494,64.21655051719375,1.0,0.0,0,0,-90.0,0
0.21774466268284443,1.1835595382936877,784.0449908848789,27.827611025067828,276.2880906869609,0.0,0.0,0,0,-90.0,100
0.07110278223575028,4.426813370181099,624.6266435572524,50.66777836412087,451.37729966725544,0.0,0.0,0,0,-90.0,200
0.11371814860069313,3.6347450649968183,713.3076518364874,-39.93032233080147,449.681472884225,0.0,0.0,0,0,-90.0,300
0.08690312715885962,0.49719216046602854,784.427329023355,8.961366105855085,132.32149619902788,0.0,0.0,0,0,-90.0,400
0.020472203629559427,4.0965277301104805,99.82436788419778,71.39355350902589,488.6664902119752,0.3164444444444393,0.0,0,0,-70.0,0
0.125366815672731,3.122553669934205,854.5745421398448,72.35949089256981,479.95951913478666,0.0,0.0,0,0,-70.0,100
0.1285941962019056,1.9817587595064752,704.4981130322749,-23.482779928497173,250.77297848014956,0.0,0.0,0,0,-70.0,200
0.244659709394826,1.1609579589391035,821.7713799590562,-35.531202692846506,131.75719170573558,0.0,0.0,0,0,-70.0,300
0.19019814363779053,1.0623674500791835,961.664739629723,-47.66258930766624,151.88792351200058,0.0,0.0,0,0,-70.0,400
0.8846765224421719,1.5986124946130906,602.9559700808543,-58.74193647353785,316.88354828052456,1.0,0.0,0,0,-50.0,0
0.1551086906749627,0.9224121896090454,854.6577153506437,-24.391483779990388,147.47145977960406,0.0,0.0,0,0,-50.0,100
0.031564835227927635,1.2552706733311396,194.58771371483874,-75.2574194982113,109.89858542074097,0.0,0.0,0,0,-50.0,200
0.10110763165572023,3.601659121966192,655.1712831052008,57.07922661915582,345.70388442128944,0.0,0.0,0,0,-50.0,300
0.14348451282173064,1.555056843260102,917.2337196486104,21.007153758679358,487.99125133208355,0.0,0.0,0,0,-50.0,400
0.024255277452290336,3.7589775770126845,111.95684930751662,32.018086735810556,475.57655870719805,0.38884444444445154,0.0,0,0,-30.0,0
0.1755001832724834,1.3052195630890764,677.6248709138425,-84.019711386391,464.3795835807806,0.0,0.0,0,0,-30.0,100
0.16029218751341812,2.3877430619623894,877.796966197234,-74.37255444828602,361.64910003789134,0.0,0.0,0,0,-30.0,200
0.059811397358359275,2.287446578961439,822.477910396806,-55.14582571228798,310.3306839355411,0.0,0.0,0,0,-30.0,300
0.10391560648492548,2.357985549884894,610.4302035759754,41.58007859341805,165.17596493002787,0.0,0.0,0,0,-30.0,400
0.7114440021270938,1.6299953465937818,645.2126634707363,38.833313597721514,95.47568148863849,1.0,0.0,0,0,-10.0,0
0.2574796609030727,1.6121976069933797,956.0084637228872,83.67827411205569,279.77452948885605,0.0,0.0,0,0,-10.0,100
0.2292269037848606,1.191935371691935,952.6044928675776,50.99455472721442,378.1146193316664,0.0,0.0,0,0,-10.0,200
0.023952094122566936,3.738959294944135,845.7497220587228,-3.320851099782068,236.21253701801407,0.0,0.0,0,0,-10.0,300
0.12384029839003113,2.119398777159129,477.35682479312493,-22.823455009579433,229.29632071163206,0.0,0.0,0,0,-10.0,400
0.6770858116224601,2.4298054169068584,511.3652730318499,13.573013685350004,246.88699791739228,0.0,0.0,0,0,10.0,0
0.13923939899420668,1.2119428002575412,848.4157527829271,78.63609734496669,273.41720212469875,0.0,0.0,0,0,10.0,100
0.128718638537605,2.0316746441858244,554.3646518417385,-80.03993378802242,491.8681479574509,0.0,0.0,0,0,10.0,200
0.37341925499120104,0.30133717228036483,914.490450275433,-51.27835793645107,240.9632473660315,0.0,0.0,0,0,10.0,300
0.10946466630599544,1.6037955062054237,816.2131441847813,-76.80081962370055,486.88311480959555,0.0,0.0,0,0,10.0,400
0.8295315120181791,1.1935646643537705,479.5182589893497,-67.63970797220276,420.15884188455766,0.0,0.0,0,0,30.0,0
0.23509992139248276,0.21044878852302418,549.3185439952916,70.49763236424744,430.88315759570946,0.0,0.0,0,0,30.0,100
0.016094959109301088,0.8370479882785262,628.5561728603691,-76.66936762772217,439.2347813475692,0.0,0.0,0,0,30.0,200
0.20946650816347534,3.4990220538417427,898.5016458726952,-28.436702298195417,141.6744295808648,0.0,0.0,0,0,30.0,300
0.13968394323412014,1.8841356507524636,520.1595294362163,-10.537530966443818,374.16328091774096,0.0,0.0,0,0,30.0,400
0.9027602615708454,3.8602750491377478,797.2201048846102,16.240077156529722,97.92390395167644,0.0,0.0,0,0,50.0,0
0.11498524657338954,3.9406217990174213,832.0267431235687,-23.30323305387784,123.40399495392562,0.0,0.0,0,0,50.0,100
0.02956326308232249,3.1977089879597074,576.7053153459384,-31.295637552789238,183.4884505013074,0.0,0.0,0,0,50.0,200
0.1481535038867689,2.729539404406821,823.0285778718228,16.050832295701568,281.01948410691267,0.0,0.0,0,0,50.0,300
0.14572823483953934,0.6800242997395678,668.7383020095199,33.49331941814367,229.67373475773087,0.0,0.0,0,0,50.0,400
0.6925719004826055,0.16303821807239904,418.75411217041824,28.539622462655775,394.7675326128258,0.0,0.0,0,0,70.0,0
0.11906215364859707,2.9932806573202395,658.7857269551766,-36.65057650239018,105.71154935822446,0.0,0.0,0,0,70.0,100
0.31323966967491285,0.04996145463679502,839.2954343133327,38.22359593075565,273.5056789426241,0.0,0.0,0,0,70.0,200
0.33829476301202954,1.0167544987224804,787.7559638487369,81.07586035546326,378.51143286006385,0.0,0.0,0,0,70.0,300
0.25611793077257633,2.520828993431557,883.5719970631505,-11.172777233053486,362.26547539818995,0.0,0.0,0,0,70.0,400
