"participant","Congruency","Word","Colour","Correct","RT"
1,"Congruent","RED","red",1,0.366953200000353
1,"Incongruent","GREEN","red",1,0.350299600000653
1,"Incongruent","RED","green",1,0.484151000000566
1,"Incongruent","RED","green",1,0.33357739999974
1,"Incongruent","GREEN","red",1,0.366962699999931
1,"Incongruent","RED","green",1,0.420122800000172
1,"Incongruent","GREEN","red",1,0.367937699999857
1,"Incongruent","RED","green",1,0.400323799999569
1,"Incongruent","GREEN","red",1,0.336726800000179
1,"Incongruent","GREEN","red",1,0.433675700000094
1,"Incongruent","RED","green",1,0.383608200000708
1,"Incongruent","GREEN","red",1,0.383724799999982
1,"Congruent","RED","red",1,0.550429600000825
1,"Incongruent","GREEN","red",1,0.350278300000355
1,"Congruent","RED","red",1,0.450167699999838
1,"Congruent","GREEN","green",1,0.283557900000233
1,"Incongruent","RED","green",1,0.336380700000518
1,"Congruent","GREEN","green",0,0.366935700000795
1,"Incongruent","RED","green",1,0.386142000000291
1,"Incongruent","RED","green",1,0.451259100000243
1,"Incongruent","RED","green",1,0.366944800000056
1,"Congruent","GREEN","green",1,0.433699700000034
1,"Incongruent","GREEN","red",1,0.416972099999839
1,"Incongruent","RED","green",1,0.483734000000368
1,"Incongruent","GREEN","red",1,0.432832800000142
1,"Incongruent","RED","green",1,0.416966499999944
1,"Incongruent","GREEN","red",1,0.433743399999912
1,"Incongruent","RED","green",0,0.435232599999836
1,"Incongruent","GREEN","red",1,0.633860400000231
1,"Incongruent","RED","green",1,0.402368099999876
1,"Incongruent","GREEN","red",1,0.602755500000058
1,"Incongruent","GREEN","red",1,0.36620210000001
1,"Congruent","RED","red",1,0.38414499999999
1,"Incongruent","GREEN","red",1,0.366978099999869
1,"Congruent","GREEN","green",1,0.333593600000313
1,"Incongruent","RED","green",1,0.316892499999994
1,"Incongruent","GREEN","red",1,0.379908099999739
1,"Congruent","RED","red",1,0.302457400000094
1,"Incongruent","RED","green",1,0.35185569999976
1,"Incongruent","RED","green",1,0.300317000000177
1,"Incongruent","RED","green",1,0.350279899999805
1,"Incongruent","RED","green",1,0.350289999999404
1,"Congruent","GREEN","green",1,0.297123700000157
1,"Incongruent","GREEN","red",1,0.417006300000139
1,"Incongruent","RED","green",1,0.417009100000541
1,"Congruent","GREEN","green",1,0.369741299999987
1,"Incongruent","GREEN","red",1,0.383686999999554
1,"Incongruent","GREEN","red",1,0.417001599999821
1,"Incongruent","GREEN","red",0,0.300246300000254
1,"Incongruent","RED","green",1,0.33363559999998
1,"Incongruent","RED","green",1,0.369009400000323
1,"Incongruent","GREEN","red",1,0.399085400000331
1,"Congruent","RED","red",1,0.45039369999995
1,"Incongruent","RED","green",1,0.400312400000075
1,"Incongruent","RED","green",1,0.517527699999846
1,"Congruent","GREEN","green",1,0.370128000000477
1,"Incongruent","RED","green",1,0.450348600000325
1,"Incongruent","GREEN","red",1,0.300216800000271
1,"Incongruent","GREEN","red",1,0.333636899999874
1,"Incongruent","RED","green",1,0.366968799999995
1,"Incongruent","RED","green",1,0.297096600000259
1,"Incongruent","RED","green",1,0.333613300000252
1,"Incongruent","GREEN","red",1,0.350271899999825
1,"Incongruent","RED","green",1,0.400318799999695
1,"Incongruent","GREEN","red",1,0.369389100000262
1,"Incongruent","GREEN","red",1,0.436575300000186
1,"Incongruent","GREEN","red",1,0.383639399999993
1,"Incongruent","GREEN","red",1,0.383678600000167
1,"Congruent","RED","red",1,0.433677900000475
1,"Incongruent","RED","green",1,0.313761899999918
1,"Incongruent","GREEN","red",1,0.383664799999679
1,"Incongruent","GREEN","red",1,0.316925699999956
1,"Incongruent","GREEN","red",1,0.333612400000675
1,"Incongruent","GREEN","red",1,0.250207600000067
1,"Incongruent","RED","green",1,0.420121199999812
1,"Incongruent","RED","green",1,0.350277700000333
1,"Incongruent","RED","green",1,0.352984099999958
1,"Incongruent","GREEN","red",1,0.402934100000493
1,"Incongruent","RED","green",1,0.619261800000459
1,"Incongruent","GREEN","red",1,0.400311800000054
1,"Incongruent","RED","green",1,0.369339900000341
1,"Incongruent","RED","green",1,0.352267100000063
1,"Incongruent","RED","green",1,0.433680499999355
1,"Congruent","GREEN","green",1,0.435768600000301
1,"Congruent","GREEN","green",1,0.416989000000285
1,"Congruent","GREEN","green",1,0.38363819999995
1,"Incongruent","GREEN","red",1,0.380497299999661
1,"Incongruent","GREEN","red",1,0.35027860000082
1,"Incongruent","RED","green",1,0.366969300000164
1,"Incongruent","GREEN","red",1,0.413893900000403
1,"Incongruent","GREEN","red",1,0.434993599999871
1,"Incongruent","RED","green",1,0.433665099999416
1,"Incongruent","GREEN","red",1,0.419597600000088
1,"Incongruent","RED","green",1,0.583808800000043
1,"Congruent","RED","red",1,0.301856199999747
1,"Congruent","RED","red",1,0.417011100000309
1,"Congruent","RED","red",1,0.383601599999565
1,"Incongruent","GREEN","red",1,0.417014100000415
1,"Incongruent","GREEN","red",1,0.418874300000425
1,"Incongruent","GREEN","red",1,0.497568099999626
1,"Incongruent","RED","green",1,0.400352100000418
1,"Incongruent","RED","green",1,0.519387300000744
1,"Incongruent","GREEN","red",1,0.43365249999988
1,"Incongruent","GREEN","red",1,0.354335500000161
1,"Incongruent","RED","green",1,0.383651600000121
1,"Incongruent","RED","green",1,0.333623999999872
1,"Incongruent","GREEN","red",1,0.383617800000138
1,"Incongruent","RED","green",1,0.383645500000057
1,"Incongruent","RED","green",1,0.617211300000235
1,"Incongruent","GREEN","red",1,0.517086999999265
1,"Congruent","RED","red",1,0.366956199999549
1,"Congruent","GREEN","green",1,0.350214799999776
1,"Incongruent","GREEN","red",1,0.467085499999484
1,"Incongruent","RED","green",1,0.433693199999652
1,"Incongruent","GREEN","red",1,0.55046129999937
1,"Incongruent","GREEN","red",1,0.400323800000479
1,"Incongruent","GREEN","red",1,0.383724199999961
1,"Incongruent","RED","green",1,0.380538000000342
1,"Incongruent","GREEN","red",1,0.400349800000185
1,"Incongruent","GREEN","red",1,0.316891999999825
1,"Incongruent","GREEN","red",1,0.350269599999592
1,"Incongruent","GREEN","red",1,0.400360300000102
1,"Incongruent","RED","green",1,0.384527100000014
1,"Incongruent","RED","green",1,0.363806700000168
1,"Congruent","RED","red",1,0.471430700000383
1,"Incongruent","RED","green",1,0.467045000000326
1,"Incongruent","RED","green",1,0.416994000000159
1,"Incongruent","GREEN","red",1,0.450369299999693
1,"Congruent","RED","red",1,0.402825600000142
1,"Incongruent","RED","green",1,0.433687000000646
1,"Incongruent","GREEN","red",1,0.397240999999667
1,"Incongruent","GREEN","red",1,0.317019699999946
1,"Incongruent","GREEN","red",1,0.350310499999978
1,"Incongruent","GREEN","red",1,0.29710520000026
1,"Congruent","GREEN","green",1,0.385920899999292
1,"Congruent","GREEN","green",1,0.450368400000116
1,"Incongruent","RED","green",1,0.36626939999951
1,"Incongruent","RED","green",1,0.383676999999807
1,"Congruent","GREEN","green",1,0.336407699999654
1,"Incongruent","RED","green",1,0.401554299999589
1,"Incongruent","RED","green",1,0.383643099999972
1,"Incongruent","GREEN","red",1,0.335156299999653
1,"Incongruent","RED","green",1,0.383632799999759
1,"Incongruent","RED","green",1,0.403178999999909
1,"Incongruent","GREEN","red",1,0.333615799999279
1,"Incongruent","GREEN","red",1,0.467045999999755
1,"Congruent","RED","red",1,0.4305260000001
1,"Incongruent","RED","green",1,0.400319099999251
1,"Congruent","RED","red",1,0.417007000000012
1,"Incongruent","RED","green",1,0.400339800000438
1,"Incongruent","RED","green",1,0.417043899999953
1,"Congruent","GREEN","green",1,0.316925199999787
1,"Congruent","RED","red",1,0.417106899999453
1,"Incongruent","RED","green",1,0.418894100000216
1,"Congruent","RED","red",1,0.366977899999256
1,"Incongruent","RED","green",1,0.339094800000566
1,"Incongruent","GREEN","red",1,0.436635000000024
1,"Incongruent","RED","green",1,0.400348799999847
1,"Incongruent","RED","green",1,0.683842499999628
1,"Incongruent","GREEN","red",1,0.400375500000337
1,"Incongruent","RED","green",1,0.669885100000101
1,"Incongruent","RED","green",1,0.335931900000105
1,"Incongruent","GREEN","red",1,0.43663000000015
1,"Incongruent","RED","green",1,0.316924800000379
